TEXTURE AT STRAIN =    0.4000
   1.424   1.724   0.391  <-- length of phase ellipsoid axes
 -159.35    2.70 -167.59  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
  126.44   46.83 -133.77   0.0003500
