  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  19.000   0.118   0.118   0.236
   0.025  20.000   0.123   0.123   0.246
   0.050  19.000   0.127   0.128   0.256
   0.075  20.000   0.129   0.132   0.263
   0.100  21.000   0.131   0.135   0.267
   0.125  21.000   0.131   0.137   0.270
   0.150  21.000   0.131   0.137   0.271
   0.175  21.000   0.130   0.138   0.271
   0.200  21.000   0.129   0.137   0.269
   0.225  22.000   0.127   0.136   0.267
   0.250  22.000   0.126   0.135   0.264
   0.275  22.000   0.124   0.133   0.261
   0.300  22.000   0.122   0.131   0.257
   0.325  23.000   0.120   0.129   0.253
   0.350  22.000   0.117   0.127   0.248
   0.375  22.000   0.115   0.124   0.243
   0.400  22.000   0.112   0.122   0.238
   0.425  21.000   0.110   0.119   0.233
   0.450  21.000   0.107   0.117   0.228
   0.475  21.000   0.105   0.114   0.223
   0.500  20.000   0.103   0.111   0.218
   0.525  20.000   0.101   0.109   0.213
   0.550  20.000   0.098   0.107   0.209
   0.575  20.000   0.096   0.104   0.204
   0.600  20.000   0.094   0.102   0.200
   0.625  21.000   0.093   0.100   0.196
   0.650  21.000   0.091   0.098   0.192
   0.675  21.000   0.089   0.097   0.189
   0.700  20.000   0.088   0.095   0.185
   0.725  20.000   0.086   0.093   0.182
   0.750  20.000   0.085   0.092   0.179
   0.775  20.000   0.083   0.090   0.176
   0.800  20.000   0.082   0.089   0.174
   0.825  20.000   0.081   0.088   0.171
   0.850  20.000   0.080   0.086   0.169
   0.875  20.000   0.079   0.085   0.167
   0.900  20.000   0.078   0.084   0.165
   0.925  20.000   0.077   0.083   0.163
   0.950  20.000   0.077   0.083   0.163
   0.975  20.000   0.077   0.083   0.163
   1.000  20.000   0.077   0.083   0.163
