TEXTURE AT STRAIN =    0.9500
   2.473   3.082   0.120  <-- length of phase ellipsoid axes
   20.52    2.40    7.92  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
  148.10   48.40 -133.33   0.0003500
