  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  27.000   0.117   0.126   0.247
   0.025  27.000   0.119   0.128   0.250
   0.050  26.000   0.120   0.129   0.253
   0.075  26.000   0.121   0.129   0.254
   0.100  25.000   0.121   0.129   0.254
   0.125  27.000   0.121   0.129   0.253
   0.150  26.000   0.120   0.127   0.251
   0.175  25.000   0.119   0.125   0.247
   0.200  25.000   0.118   0.123   0.242
   0.225  25.000   0.116   0.120   0.237
   0.250  24.000   0.115   0.117   0.233
   0.275  22.000   0.114   0.115   0.229
   0.300  21.000   0.112   0.114   0.227
   0.325  22.000   0.111   0.113   0.225
   0.350  23.000   0.109   0.113   0.223
   0.375  22.000   0.107   0.112   0.221
   0.400  22.000   0.105   0.111   0.219
   0.425  21.000   0.103   0.110   0.216
   0.450  22.000   0.101   0.108   0.213
   0.475  23.000   0.100   0.107   0.210
   0.500  22.000   0.098   0.105   0.206
   0.525  22.000   0.096   0.104   0.203
   0.550  21.000   0.095   0.102   0.200
   0.575  20.000   0.093   0.101   0.197
   0.600  20.000   0.092   0.099   0.194
   0.625  19.000   0.091   0.098   0.191
   0.650  19.000   0.090   0.096   0.189
   0.675  20.000   0.089   0.095   0.187
   0.700  20.000   0.088   0.094   0.184
   0.725  20.000   0.087   0.093   0.182
   0.750  20.000   0.086   0.092   0.181
   0.775  20.000   0.086   0.091   0.179
   0.800  20.000   0.085   0.090   0.177
   0.825  20.000   0.084   0.089   0.176
   0.850  20.000   0.084   0.088   0.174
   0.875  20.000   0.083   0.088   0.173
   0.900  21.000   0.083   0.087   0.171
   0.925  21.000   0.082   0.086   0.170
   0.950  21.000   0.081   0.086   0.169
   0.975  21.000   0.081   0.085   0.168
   1.000  21.000   0.080   0.085   0.167
