TEXTURE AT STRAIN =    0.9500
   1.390   1.451   0.491  <-- length of phase ellipsoid axes
   -5.70    0.86   -1.16  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
  178.53   28.06 -100.07   0.0016500
