TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   40.27   71.29  128.07  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
 -174.41   27.70 -111.04   0.0016500
