TEXTURE AT STRAIN =    1.0000
   2.251   2.937   0.141  <-- length of phase ellipsoid axes
  -29.88   29.58   98.01  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
  130.35   18.80 -124.22   0.0003500
