TEXTURE AT STRAIN =    0.1000
   1.031   1.032   0.938  <-- length of phase ellipsoid axes
   19.51    1.90  101.67  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
  106.29  125.08 -117.28   0.0016500
