  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.137   0.139   0.276
   0.025  22.000   0.140   0.142   0.284
   0.050  23.000   0.142   0.145   0.289
   0.075  23.000   0.142   0.147   0.292
   0.100  22.000   0.142   0.149   0.293
   0.125  22.000   0.141   0.149   0.293
   0.150  22.000   0.140   0.148   0.292
   0.175  23.000   0.138   0.147   0.289
   0.200  23.000   0.136   0.146   0.286
   0.225  22.000   0.134   0.144   0.282
   0.250  21.000   0.131   0.141   0.277
   0.275  22.000   0.128   0.139   0.271
   0.300  22.000   0.125   0.136   0.266
   0.325  22.000   0.122   0.133   0.259
   0.350  22.000   0.119   0.130   0.253
   0.375  21.000   0.116   0.126   0.247
   0.400  21.000   0.113   0.123   0.241
   0.425  21.000   0.110   0.120   0.234
   0.450  21.000   0.108   0.117   0.228
   0.475  21.000   0.105   0.114   0.223
   0.500  21.000   0.102   0.111   0.217
   0.525  21.000   0.100   0.108   0.212
   0.550  21.000   0.097   0.106   0.207
   0.575  21.000   0.095   0.103   0.202
   0.600  21.000   0.093   0.101   0.198
   0.625  20.000   0.091   0.099   0.194
   0.650  20.000   0.089   0.097   0.190
   0.675  20.000   0.088   0.095   0.186
   0.700  20.000   0.086   0.093   0.183
   0.725  20.000   0.085   0.092   0.180
   0.750  20.000   0.083   0.090   0.177
   0.775  20.000   0.082   0.089   0.174
   0.800  20.000   0.081   0.088   0.171
   0.825  20.000   0.080   0.086   0.169
   0.850  20.000   0.079   0.085   0.167
   0.875  20.000   0.078   0.084   0.165
   0.900  20.000   0.077   0.083   0.163
   0.925  20.000   0.077   0.083   0.163
   0.950  20.000   0.077   0.083   0.163
   0.975  20.000   0.077   0.083   0.163
   1.000  20.000   0.077   0.083   0.163
