TEXTURE AT STRAIN =    0.2000
   1.047   1.071   0.891  <-- length of phase ellipsoid axes
   -6.78    2.24    1.40  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
  177.14   33.20 -107.29   0.0016500
