  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.139   0.137   0.275
   0.025  26.000   0.142   0.139   0.280
   0.050  26.000   0.143   0.142   0.284
   0.075  25.000   0.144   0.143   0.286
   0.100  24.000   0.143   0.143   0.286
   0.125  24.000   0.142   0.142   0.284
   0.150  23.000   0.140   0.140   0.280
   0.175  22.000   0.137   0.138   0.275
   0.200  20.000   0.135   0.136   0.272
   0.225  22.000   0.134   0.136   0.271
   0.250  23.000   0.133   0.136   0.271
   0.275  23.000   0.131   0.136   0.269
   0.300  22.000   0.129   0.134   0.265
   0.325  22.000   0.125   0.132   0.260
   0.350  22.000   0.122   0.129   0.254
   0.375  22.000   0.118   0.126   0.248
   0.400  22.000   0.114   0.123   0.241
   0.425  23.000   0.111   0.120   0.234
   0.450  22.000   0.107   0.116   0.227
   0.475  22.000   0.104   0.113   0.221
   0.500  22.000   0.101   0.110   0.215
   0.525  22.000   0.098   0.107   0.209
   0.550  21.000   0.096   0.104   0.204
   0.575  21.000   0.093   0.102   0.199
   0.600  21.000   0.091   0.099   0.194
   0.625  21.000   0.089   0.097   0.189
   0.650  21.000   0.087   0.095   0.185
   0.675  21.000   0.085   0.093   0.182
   0.700  21.000   0.084   0.091   0.178
   0.725  21.000   0.082   0.089   0.175
   0.750  21.000   0.081   0.088   0.171
   0.775  21.000   0.079   0.086   0.169
   0.800  21.000   0.078   0.085   0.166
   0.825  21.000   0.077   0.084   0.163
   0.850  21.000   0.076   0.082   0.161
   0.875  21.000   0.076   0.082   0.161
   0.900  21.000   0.076   0.082   0.161
   0.925  21.000   0.076   0.083   0.161
   0.950  21.000   0.076   0.083   0.161
   0.975  21.000   0.076   0.083   0.161
   1.000  21.000   0.076   0.083   0.161
