TEXTURE AT STRAIN =    0.4500
   1.121   1.159   0.734  <-- length of phase ellipsoid axes
  102.89    2.46   -2.39  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
   97.93  146.78 -101.51   0.0016500
