TEXTURE AT STRAIN =    0.2000
   1.050   1.070   0.889  <-- length of phase ellipsoid axes
  -13.41    3.14  -12.30  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
  165.93   42.59 -102.59   0.0016500
