TEXTURE AT STRAIN =    0.8500
   2.221   2.806   0.148  <-- length of phase ellipsoid axes
  143.90    1.18  175.58  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
  148.79    3.44 -147.68   0.0003500
