TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  121.07  117.86   -8.10  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
  138.00   57.85 -138.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.061   1.084   0.863  <-- length of phase ellipsoid axes
  -37.42    7.01   93.67  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
  137.40   54.23 -137.13   0.0003500
