TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   96.00  138.22  134.57  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
  178.12   39.44 -114.84   0.0016500
