TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   39.54   55.80  113.55  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
  162.13   56.83 -113.03   0.0016500
TEXTURE AT STRAIN =    0.0500
   1.016   1.016   0.969  <-- length of phase ellipsoid axes
   56.54    0.87   74.29  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
  162.15   55.64 -112.69   0.0016500
