TEXTURE AT STRAIN =    1.0000
   2.601   3.024   0.116  <-- length of phase ellipsoid axes
  146.23   80.82 -158.00  <-- Euler angles (deg) of phase ellipsoid axes
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
  158.05   29.56 -150.86   0.0003500
