TEXTURE AT STRAIN =    0.9000
   2.026   3.078   0.149  <-- length of phase ellipsoid axes
 -160.39    1.69  -75.88  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
  174.15    4.04 -174.95   0.0003500
