TEXTURE AT STRAIN =    1.0000
   2.318   3.086   0.129  <-- length of phase ellipsoid axes
  -40.33   34.72  100.99  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
  139.18   14.03 -136.42   0.0003500
