TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -133.20  126.22  106.62  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
  115.20  114.49 -112.61   0.0016500
