TEXTURE AT STRAIN =    1.0000
   2.405   3.162   0.120  <-- length of phase ellipsoid axes
  179.67  119.33  131.92  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
  171.61   26.23 -177.27   0.0003500
