  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   4.000   0.043   0.000   0.132   0.084   0.245   0.000   0.017
   0.025   4.000   0.040   0.000   0.129   0.085   0.242   0.000   0.018
   0.050   4.000   0.038   0.000   0.127   0.087   0.240   0.000   0.019
   0.075   4.000   0.035   0.000   0.126   0.089   0.238   0.000   0.022
   0.100   5.000   0.032   0.000   0.126   0.092   0.236   0.000   0.024
   0.125   6.000   0.028   0.000   0.127   0.096   0.234   0.000   0.028
   0.150   6.000   0.024   0.000   0.127   0.100   0.232   0.000   0.032
   0.175   6.000   0.020   0.000   0.126   0.103   0.229   0.000   0.037
   0.200   6.000   0.017   0.000   0.124   0.105   0.226   0.000   0.042
   0.225   6.000   0.015   0.000   0.121   0.106   0.223   0.000   0.046
   0.250   6.000   0.013   0.000   0.119   0.107   0.222   0.000   0.051
   0.275   6.000   0.012   0.000   0.117   0.108   0.221   0.000   0.056
   0.300   5.000   0.011   0.000   0.116   0.108   0.222   0.000   0.062
   0.325   5.000   0.010   0.000   0.116   0.108   0.223   0.000   0.067
   0.350   5.000   0.009   0.000   0.116   0.107   0.224   0.000   0.073
   0.375   5.000   0.009   0.000   0.116   0.107   0.226   0.000   0.079
   0.400   5.000   0.008   0.000   0.116   0.106   0.229   0.000   0.086
   0.425   5.000   0.007   0.000   0.116   0.105   0.231   0.000   0.093
   0.450   5.000   0.007   0.001   0.115   0.103   0.234   0.000   0.100
   0.475   5.000   0.006   0.001   0.115   0.102   0.237   0.000   0.108
   0.500   5.000   0.006   0.001   0.114   0.100   0.239   0.000   0.115
   0.525   5.000   0.005   0.001   0.113   0.099   0.242   0.000   0.123
   0.550   5.000   0.005   0.002   0.112   0.097   0.244   0.000   0.131
   0.575   5.000   0.004   0.002   0.110   0.095   0.246   0.000   0.140
   0.600   5.000   0.004   0.002   0.108   0.093   0.248   0.000   0.148
   0.625   5.000   0.003   0.002   0.106   0.092   0.250   0.000   0.156
   0.650   5.000   0.003   0.003   0.104   0.090   0.251   0.000   0.165
   0.675   6.000   0.003   0.003   0.102   0.088   0.252   0.000   0.173
   0.700   6.000   0.003   0.003   0.100   0.087   0.253   0.000   0.182
   0.725   7.000   0.003   0.003   0.097   0.085   0.254   0.000   0.190
   0.750   7.000   0.002   0.004   0.095   0.084   0.255   0.000   0.199
   0.775   7.000   0.002   0.004   0.092   0.082   0.255   0.000   0.207
   0.800   7.000   0.002   0.004   0.089   0.081   0.255   0.000   0.216
   0.825   7.000   0.002   0.004   0.087   0.080   0.255   0.000   0.224
   0.850   7.000   0.002   0.004   0.084   0.079   0.255   0.000   0.232
   0.875   7.000   0.002   0.004   0.082   0.078   0.255   0.000   0.240
   0.900   7.000   0.002   0.004   0.079   0.077   0.254   0.000   0.248
   0.925   7.000   0.002   0.004   0.077   0.076   0.253   0.000   0.255
   0.950   7.000   0.002   0.004   0.075   0.075   0.253   0.000   0.263
   0.975   8.000   0.002   0.003   0.072   0.074   0.252   0.000   0.270
   1.000   8.000   0.002   0.003   0.070   0.074   0.250   0.000   0.275
