  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.131   0.135   0.268
   0.025  22.000   0.134   0.139   0.275
   0.050  21.000   0.136   0.142   0.281
   0.075  21.000   0.137   0.144   0.285
   0.100  21.000   0.138   0.146   0.287
   0.125  21.000   0.137   0.146   0.288
   0.150  21.000   0.137   0.146   0.287
   0.175  22.000   0.135   0.146   0.285
   0.200  21.000   0.134   0.144   0.282
   0.225  22.000   0.132   0.142   0.279
   0.250  22.000   0.130   0.140   0.274
   0.275  22.000   0.127   0.138   0.269
   0.300  22.000   0.124   0.135   0.264
   0.325  21.000   0.121   0.132   0.258
   0.350  21.000   0.119   0.129   0.252
   0.375  21.000   0.116   0.126   0.245
   0.400  21.000   0.113   0.122   0.239
   0.425  21.000   0.110   0.119   0.233
   0.450  21.000   0.107   0.116   0.227
   0.475  21.000   0.104   0.113   0.222
   0.500  20.000   0.102   0.111   0.216
   0.525  20.000   0.100   0.108   0.211
   0.550  20.000   0.097   0.105   0.206
   0.575  20.000   0.095   0.103   0.202
   0.600  19.000   0.093   0.101   0.197
   0.625  19.000   0.091   0.099   0.193
   0.650  19.000   0.090   0.097   0.190
   0.675  19.000   0.088   0.095   0.186
   0.700  19.000   0.086   0.093   0.183
   0.725  19.000   0.085   0.092   0.180
   0.750  19.000   0.084   0.090   0.177
   0.775  20.000   0.083   0.089   0.174
   0.800  20.000   0.081   0.088   0.172
   0.825  20.000   0.080   0.086   0.169
   0.850  20.000   0.079   0.085   0.167
   0.875  20.000   0.078   0.084   0.165
   0.900  20.000   0.078   0.083   0.163
   0.925  20.000   0.077   0.082   0.161
   0.950  20.000   0.077   0.082   0.162
   0.975  20.000   0.077   0.082   0.162
   1.000  20.000   0.077   0.083   0.162
